ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State,cites/town,ICSEA Ratio
42182,Coopernook Public School,Coopernook,2426,Primary,Inner Regional,-31.8275,152.608,,Government,School Single Entity,Department of Education NSW,937.0,48.0,34.0,13.0,5.0,2.0,2.7,2.0,1.0,38.0,23.0,15.0,38.0,24.0,0.0,NSW,Sydney,Higher 
41298,Murray Farm Public School,Carlingford,2118,Primary,Major Cities,-33.7661,151.04,100,Government,School Single Entity,Department of Education NSW,1153.0,2.0,7.0,23.0,67.0,49.0,58.7,7.0,5.9,988.0,473.0,515.0,988.0,0.0,87.0,NSW,Coopernook,Average
42183,Coorabell Public School,Coorabell,2479,Primary,Inner Regional,-28.6257,153.487,95,Government,School Single Entity,Department of Education NSW,1082.0,5.0,27.0,29.0,39.0,5.0,6.0,3.0,1.7,121.0,52.0,69.0,121.0,2.0,28.0,NSW,Sydney,Average
41299,Mimosa Public School,Frenchs Forest,2086,Primary,Major Cities,-33.7433,151.206,93,Government,School Single Entity,Department of Education NSW,1109.0,2.0,15.0,35.0,48.0,23.0,27.5,4.0,4.0,534.0,286.0,248.0,534.0,1.0,17.0,NSW,None,Average
41880,Cooranbong Public School,Cooranbong,2265,Primary,Major Cities,-33.0805,151.442,75,Government,School Single Entity,Department of Education NSW,970.0,40.0,32.0,21.0,7.0,14.0,15.3,4.0,3.5,240.0,124.0,116.0,240.0,11.0,12.0,NSW,Sydney,Higher 
41300,Wideview Public School,Berowra Heights,2082,Primary,Major Cities,-33.6085,151.142,91,Government,School Single Entity,Department of Education NSW,1090.0,6.0,21.0,35.0,39.0,20.0,20.6,2.0,3.1,403.0,203.0,200.0,403.0,1.0,15.0,NSW,Cooranbong,Average
42561,Cootamundra Public School,Cootamundra,2590,Primary,Inner Regional,-34.6389,148.027,75,Government,School Single Entity,Department of Education NSW,972.0,41.0,32.0,19.0,9.0,12.0,17.6,3.0,2.6,302.0,148.0,154.0,302.0,9.0,7.0,NSW,Sydney,Higher 
42060,Copacabana Public School,Copacabana,2251,Primary,Major Cities,-33.485,151.437,84,Government,School Single Entity,Department of Education NSW,1065.0,11.0,24.0,36.0,30.0,17.0,18.3,4.0,2.8,352.0,169.0,183.0,352.0,4.0,9.0,NSW,Cootamundra,Average
41302,Kambora Public School,Davidson,2085,Primary,Major Cities,-33.7401,151.195,98,Government,School Single Entity,Department of Education NSW,1131.0,3.0,12.0,30.0,55.0,12.0,12.2,3.0,2.4,223.0,87.0,136.0,223.0,0.0,19.0,NSW,Gosford,Average
42184,Copmanhurst Public School,Copmanhurst,2460,Primary,Outer Regional,-29.5847,152.776,72,Government,School Single Entity,Department of Education NSW,912.0,65.0,26.0,9.0,1.0,4.0,3.9,3.0,1.4,62.0,31.0,31.0,62.0,11.0,0.0,NSW,Sydney,Higher 
41303,John Purchase Public School,Cherrybrook,2126,Primary,Major Cities,-33.7142,151.045,98,Government,School Single Entity,Department of Education NSW,1151.0,2.0,7.0,24.0,68.0,28.0,33.5,4.0,4.1,644.0,303.0,341.0,644.0,0.0,74.0,NSW,None,Average
42185,Coraki Public School,Coraki,2471,Primary,Inner Regional,-28.9921,153.285,68,Government,School Single Entity,Department of Education NSW,801.0,87.0,10.0,3.0,0.0,4.0,5.8,3.0,2.6,43.0,25.0,18.0,43.0,35.0,2.0,NSW,Sydney,Higher 
41304,Samuel Gilbert Public School,Castle Hill,2154,Primary,Major Cities,-33.7131,150.992,95,Government,School Single Entity,Department of Education NSW,1118.0,3.0,12.0,32.0,53.0,32.0,38.8,3.0,4.7,755.0,354.0,401.0,755.0,1.0,34.0,NSW,None,Average
42186,Coramba Public School,Coramba,2450,Primary,Inner Regional,-30.2216,153.012,,Government,School Single Entity,Department of Education NSW,929.0,48.0,26.0,19.0,7.0,2.0,2.6,2.0,0.9,44.0,17.0,27.0,44.0,23.0,5.0,NSW,Sydney,Higher 
41305,Oakhill Drive Public School,Castle Hill,2154,Primary,Major Cities,-33.7216,151.023,99,Government,School Single Entity,Department of Education NSW,1147.0,1.0,8.0,26.0,65.0,33.0,37.7,5.0,4.7,760.0,355.0,405.0,760.0,0.0,59.0,NSW,None,Average
42187,Corindi Public School,Corindi Beach,2456,Primary,Inner Regional,-30.0215,153.194,72,Government,School Single Entity,Department of Education NSW,933.0,47.0,32.0,15.0,6.0,9.0,11.5,6.0,2.0,186.0,96.0,90.0,186.0,19.0,7.0,NSW,Sydney,Higher 
41306,Hornsby South Public School,Hornsby,2077,Primary,Major Cities,-33.7135,151.095,98,Government,School Single Entity,Department of Education NSW,1115.0,3.0,11.0,34.0,52.0,34.0,36.7,8.0,4.3,658.0,329.0,329.0,658.0,1.0,77.0,NSW,None,Average
42188,Corndale Public School,Corndale,2480,Primary,Inner Regional,-28.7132,153.362,,Government,School Single Entity,Department of Education NSW,1010.0,26.0,30.0,34.0,10.0,1.0,1.6,2.0,1.2,21.0,13.0,8.0,21.0,5.0,10.0,NSW,Sydney,Average
42562,Corowa Public School,Corowa,2646,Primary,Inner Regional,-35.9925,146.395,71,Government,School Single Entity,Department of Education NSW,947.0,55.0,27.0,14.0,4.0,13.0,14.6,5.0,3.5,226.0,99.0,127.0,226.0,4.0,3.0,NSW,None,Higher 
42563,Corowa South Public School,Corowa,2646,Primary,Inner Regional,-36.021,146.376,75,Government,School Single Entity,Department of Education NSW,955.0,45.0,41.0,14.0,0.0,3.0,2.7,2.0,0.9,49.0,25.0,24.0,49.0,6.0,6.0,NSW,Corowa,Higher 
43254,Corpus Christi Catholic Primary School,St Ives,2075,Primary,Major Cities,-33.7283,151.166,92,Catholic,School Single Entity,Catholic Schools NSW,1146.0,1.0,7.0,24.0,68.0,15.0,10.6,3.0,1.6,166.0,83.0,83.0,166.0,0.0,29.0,NSW,Corowa,Average
43162,Corpus Christi Primary School,Cranebrook,2749,Primary,Major Cities,-33.7118,150.718,83,Catholic,School Single Entity,Catholic Schools NSW,1034.0,18.0,33.0,32.0,17.0,33.0,31.0,9.0,6.2,552.0,285.0,267.0,552.0,3.0,26.0,NSW,Sydney,Average
43302,Corpus Christi Primary School,Waratah,2298,Primary,Major Cities,-32.9005,151.723,85,Catholic,School Single Entity,Catholic Schools NSW,1057.0,14.0,24.0,32.0,30.0,16.0,10.5,4.0,2.3,163.0,77.0,86.0,163.0,6.0,15.0,NSW,Sydney,Average
42845,Corrimal East Public School,Corrimal,2518,Primary,Major Cities,-34.3777,150.906,82,Government,School Single Entity,Department of Education NSW,1001.0,29.0,36.0,24.0,12.0,13.0,16.0,6.0,5.4,240.0,112.0,128.0,240.0,5.0,17.0,NSW,Newcastle-Maitland,Average
42755,Corrimal Public School,Corrimal,2518,Primary,Major Cities,-34.3676,150.899,78,Government,School Single Entity,Department of Education NSW,989.0,31.0,30.0,26.0,13.0,11.0,13.7,2.0,2.3,230.0,115.0,115.0,230.0,11.0,16.0,NSW,Wollongong City Council,Higher 
42189,Coutts Crossing Public School,Coutts Crossing,2460,Primary,Inner Regional,-29.832,152.89,76,Government,School Single Entity,Department of Education NSW,925.0,58.0,29.0,10.0,3.0,6.0,5.1,3.0,1.4,72.0,33.0,39.0,72.0,11.0,4.0,NSW,Wollongong City Council,Higher 
41317,Eastwood Public School,Eastwood,2122,Primary,Major Cities,-33.7927,151.078,100,Government,School Single Entity,Department of Education NSW,1132.0,3.0,8.0,30.0,59.0,48.0,52.0,7.0,5.9,907.0,440.0,467.0,907.0,0.0,95.0,NSW,None,Average
