ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State
41380,Concord West Public School,Concord West,2138,Primary,Major Cities,-33.8396,151.087,95,Government,School Single Entity,Department of Education NSW,1112,4,13,33,50,21,21.5,1,3,348,165,183,348,0,78,NSW
41280,Elanora Heights Public School,Elanora Heights,2101,Primary,Major Cities,-33.7037,151.285,88,Government,School Single Entity,Department of Education NSW,1084,7,23,33,37,29,28.8,4,4.1,573,266,307,573,1,12,NSW
41431,Condell Park Public School,Condell Park,2200,Primary,Major Cities,-33.9255,151.014,73,Government,School Single Entity,Department of Education NSW,957,51,29,16,4,33,36.4,4,4.1,560,263,297,560,1,94,NSW
41282,Cromer Public School,Cromer,2099,Primary,Major Cities,-33.738,151.275,94,Government,School Single Entity,Department of Education NSW,1091,6,20,35,40,34,40.8,5,5.1,639,298,341,639,2,16,NSW
42961,Condobolin Public School,Condobolin,2877,Primary,Outer Regional,-33.0855,147.149,74,Government,School Single Entity,Department of Education NSW,875,57,24,14,6,17,19.5,9,5.9,314,152,162,314,43,3,NSW
41283,Wheeler Heights Public School,Collaroy Plateau,2097,Primary,Major Cities,-33.7278,151.285,92,Government,School Single Entity,Department of Education NSW,1085,5,21,37,37,24,24.4,4,3.6,478,231,247,478,3,13,NSW
42180,Condong Public School,Condong,2484,Primary,Major Cities,-28.3097,153.434,78,Government,School Single Entity,Department of Education NSW,953,50,27,20,3,4,3.7,5,1.4,63,25,38,63,6,6,NSW
41284,Ryde East Public School,North Ryde,2113,Primary,Major Cities,-33.8071,151.126,95,Government,School Single Entity,Department of Education NSW,1116,5,13,28,55,34,37.5,4,4.1,552,260,292,552,1,43,NSW
41886,Congewai Public School,Congewai,2325,Primary,Inner Regional,-32.9584,151.274,,Government,School Single Entity,Department of Education NSW,954,37,43,19,1,3,1.3,1,0.8,16,10,6,16,13,0,NSW
41285,Hornsby Heights Public School,Hornsby,2077,Primary,Major Cities,-33.6698,151.097,92,Government,School Single Entity,Department of Education NSW,1095,5,19,34,41,21,23.9,3,3.4,459,222,237,459,1,23,NSW
42752,Coniston Public School,Coniston,2500,Primary,Major Cities,-34.4388,150.887,77,Government,School Single Entity,Department of Education NSW,982,36,31,21,12,11,14.6,8,5.4,201,87,114,201,7,57,NSW
41286,Normanhurst West Public School,Thornleigh,2120,Primary,Major Cities,-33.7189,151.087,97,Government,School Single Entity,Department of Education NSW,1135,3,10,25,62,24,29.7,5,4.5,519,243,276,519,0,35,NSW
41287,Thornleigh West Public School,Thornleigh,2120,Primary,Major Cities,-33.7239,151.072,92,Government,School Single Entity,Department of Education NSW,1128,3,10,29,58,32,36.1,6,7.1,618,287,331,618,0,31,NSW
42962,Cooerwull Public School,Lithgow,2790,Primary,Inner Regional,-33.4841,150.142,70,Government,School Single Entity,Department of Education NSW,919,57,24,14,5,22,25.9,8,5.6,423,199,224,423,20,9,NSW
41288,West Pymble Public School,West Pymble,2073,Primary,Major Cities,-33.7639,151.124,93,Government,School Single Entity,Department of Education NSW,1140,1,8,26,64,17,18.3,5,2.9,348,158,190,348,0,32,NSW
41289,St Ives North Public School,St Ives,2075,Primary,Major Cities,-33.7187,151.164,100,Government,School Single Entity,Department of Education NSW,1191,0,3,15,83,46,50.1,6,5.9,929,471,458,929,0,65,NSW
41290,Roselea Public School,Carlingford,2118,Primary,Major Cities,-33.7654,151.053,95,Government,School Single Entity,Department of Education NSW,1114,6,12,29,54,22,22.8,6,4.3,344,174,170,344,2,61,NSW
